comment_id,author,author_channel_id,text,like_count,published_at,updated_at,cleaned_text,original_length,cleaned_length,sentiment_label,sentiment_confidence,sentiment_prediction,prob_negative,prob_neutral,prob_positive
UgzQ6-L8dlGY6SreMD94AaABAg,@britishguyincanada443,UCsGNW2zpm2dzvw8cFRzIbqg,Love my Nespresso machine but this is just such a nuisance process !!,0,2025-04-26T10:34:55Z,2025-04-26T10:34:55Z,Love my Nespresso machine but this is just such a nuisance process !!,69,69,Negative,0.658713698387146,0,0.658713698387146,0.18206118047237396,0.1592252254486084
UgzXlC0J9eh02CWa0Ch4AaABAg,@Iamyour999,UC_j58ZCRQngKFCEMD7Hl8TA,"Name of song
😅",0,2025-04-26T02:00:51Z,2025-04-26T02:00:51Z,Name of song,14,12,Neutral,0.8268480896949768,1,0.08760243654251099,0.8268480896949768,0.08554945886135101
UgzUHyfdzDlWTUVgrpV4AaABAg,@MrCocoPuff_,UCn3U8j5QKhx0RISwRJIXgvw,Is this he same guy from kurgsgasart?,0,2025-04-20T13:52:52Z,2025-04-20T13:52:52Z,Is this he same guy from kurgsgasart?,37,37,Neutral,0.9393550753593445,1,0.030330026522278786,0.9393550753593445,0.030314873903989792
UgyuUuoxoVL3aYzfLVV4AaABAg,@maryhossier3380,UCdzvr3YW5x8IEYEKpo2DxlA,"I just did the descaling via the cleaning mode and used descaling solution. Empty it all, clean water and descaling solution in tank. Lock machine, press button 3 times quickly, let it run. Repeated process until all solution water ran through, then filled tank with clean water and repeated until full tank was used. Way easier than the descaling mode.",4,2025-04-20T10:37:23Z,2025-04-20T10:37:23Z,"I just did the descaling via the cleaning mode and used descaling solution. Empty it all, clean water and descaling solution in tank. Lock machine, press button 3 times quickly, let it run. Repeated process until all solution water ran through, then filled tank with clean water and repeated until full tank was used. Way easier than the descaling mode.",353,353,Neutral,0.5551244020462036,1,0.026953469961881638,0.5551244020462036,0.41792216897010803
UgwuPYI5zW0oCRTfMV94AaABAg,@gnotnats,UCQZgxqcH1F-r7kHyg0Rcx0g,They used the Kurzgesagt voice?,0,2025-04-19T11:32:20Z,2025-04-19T11:32:20Z,They used the Kurzgesagt voice?,31,31,Neutral,0.9189025163650513,1,0.05181340500712395,0.9189025163650513,0.029284054413437843
UgzjzVCiqSLAVXE5Lq54AaABAg,@CryptoDadGuy,UCH4u3vITpZF-khGtV2PACtA,Kurzgesart is that you?,0,2025-04-14T15:56:33Z,2025-04-14T15:56:33Z,Kurzgesart is that you?,23,23,Neutral,0.8172370195388794,1,0.1076345443725586,0.8172370195388794,0.07512836903333664
UgwVsNFXunSeYLsZd_Z4AaABAg,@tizmondi8846,UCRA2DGZRTrWyoxf7jJlpTzg,Houston abbiamo un problema 😂,0,2025-04-14T06:01:57Z,2025-04-14T06:01:57Z,Houston abbiamo un problema,29,27,Neutral,0.8351961374282837,1,0.09559930115938187,0.8351961374282837,0.06920453906059265
Ugyo-ELhLHFu42CO_VZ4AaABAg,@enricotor,UCesgN20WwGJ3_RD9qlCS6RQ,Please help me I'm stuck on descaling mode and this idiotic video didn't help at all,0,2025-04-12T15:34:44Z,2025-04-12T15:34:44Z,Please help me I'm stuck on descaling mode and this idiotic video didn't help at all,84,84,Negative,0.9414928555488586,0,0.9414928555488586,0.052698589861392975,0.005808577872812748
UgwJFuP-xOykHHTWpKF4AaABAg,@enricotor,UCesgN20WwGJ3_RD9qlCS6RQ,"Why TF would you say ""your machine is now ready to be used"" and proceed to give more instructions on finishing the descaling??? Did a baboon make this video or what",1,2025-04-12T15:30:11Z,2025-04-12T22:19:28Z,"Why TF would you say ""your machine is now ready to be used"" and proceed to give more instructions on finishing the descaling??? Did a baboon make this video or what",164,164,Negative,0.7753700017929077,0,0.7753700017929077,0.21332289278507233,0.011307137086987495
Ugwt2tfGzTKszv4fLCh4AaABAg,@enricotor,UCesgN20WwGJ3_RD9qlCS6RQ,Jesus that's so unnecessary!!!,0,2025-04-12T15:24:57Z,2025-04-12T15:24:57Z,Jesus that's so unnecessary!!!,30,30,Negative,0.9283587336540222,0,0.9283587336540222,0.06065431237220764,0.010986893437802792
Ugxy9gOVE8lJLietAFx4AaABAg,@Albosacnut,UC-BGQs0FfJYLqYDJRMJWznA,This video just made instant great again !!,3,2025-04-04T21:58:30Z,2025-04-04T21:58:30Z,This video just made instant great again !!,43,43,Positive,0.9857454299926758,2,0.0029567398596554995,0.011297758668661118,0.9857454299926758
Ugyot49DeSqdvS18Mid4AaABAg,@MarianoEnUSA,UCZtw_MvpvQ3eKo3u9sbVPjA,DONT BUY THIS MACHINE! ITS GARBAGE!,0,2025-04-02T23:31:53Z,2025-04-02T23:31:53Z,DONT BUY THIS MACHINE! ITS GARBAGE!,35,35,Negative,0.9406653642654419,0,0.9406653642654419,0.05020492896437645,0.009129739366471767
Ugxk7ixWoQw0pv05K0R4AaABAg,@louisvanstaden9538,UCnGXhNgKR0K7olgttp_rDYA,"This is so unnecessarily complicated. For something that needs to be done fairly regularly, just create a proper command or button for it. Not user centric at all.",0,2025-03-27T07:40:56Z,2025-03-27T11:20:09Z,"This is so unnecessarily complicated. For something that needs to be done fairly regularly, just create a proper command or button for it. Not user centric at all.",163,163,Negative,0.7830713987350464,0,0.7830713987350464,0.19715920090675354,0.019769316539168358
Ugz83pZgP2j4T74i-zR4AaABAg,@edmend55,UCj-2Xq-3-QK63Eepizp5Ixg,"Whilst descaling,  my pop machine just went pop! It's broken! 😢. I followed the instructions exactly! It finished all its water and the instructions never said to add any more, so I didn't.... then POP! 😢 
How infuriating! 🤬",0,2025-03-26T22:25:15Z,2025-03-26T22:25:15Z,"Whilst descaling, my pop machine just went pop! It's broken! . I followed the instructions exactly! It finished all its water and the instructions never said to add any more, so I didn't.... then POP! How infuriating!",224,217,Negative,0.9393516182899475,0,0.9393516182899475,0.05278782173991203,0.007860627956688404
UgxSZrl4xV-d1iAmaQh4AaABAg,@RichardHartshorneAviation,UCgm1Tqnz-w8tEMNOwHK-z9w,"It’s such a long video for a descale , make it more simple with a descale button !",0,2025-03-26T15:02:48Z,2025-03-26T15:02:48Z,"It’s such a long video for a descale , make it more simple with a descale button !",82,82,Negative,0.5692779421806335,0,0.5692779421806335,0.35731688141822815,0.07340522110462189
Ugz9Cc1L6K-6sRdjbXl4AaABAg,@ralphdecaro1430,UCTPFHNCk7TcP6dXfEVwXfEg,I followed the directions to get to descale mode and it doesn't work. Quick flashing yellow then close paddle and push button does nothing but make it look for a pod thinking it's brewing. Dumbass design.,0,2025-03-25T21:12:22Z,2025-03-25T21:12:22Z,I followed the directions to get to descale mode and it doesn't work. Quick flashing yellow then close paddle and push button does nothing but make it look for a pod thinking it's brewing. Dumbass design.,204,204,Negative,0.8885574340820312,0,0.8885574340820312,0.10321783274412155,0.008224716410040855
UgwNO72WxdG8kReBi9l4AaABAg,@albayanwlbrhan,UCC4UkLVZBVldThsFMZJTfjw,Proud to announce I’ve been accepted into an elite university program specializing in Nespresso machine cleaning. It’s only 8 years long. Graduation in 2033 — assuming I pass Descaling 401.,2,2025-03-25T07:52:29Z,2025-03-25T07:52:29Z,Proud to announce I’ve been accepted into an elite university program specializing in Nespresso machine cleaning. It’s only 8 years long. Graduation in 2033 — assuming I pass Descaling 401.,189,189,Positive,0.9849843978881836,2,0.0019308336777612567,0.013084780424833298,0.9849843978881836
UgygUu9dFRVWS3Gs2VR4AaABAg,@chanelh1972,UCkuKn0uwMLcj_soJQjIiH0g,"This is the most ridiculous way to descale any machine ever. I never thought having one button would over complicate my life, not simplify it. The lock unlock lock unlock step is absolutely unnecessary and I’m wasting pods for no reason.",0,2025-03-19T13:29:43Z,2025-03-19T13:29:43Z,"This is the most ridiculous way to descale any machine ever. I never thought having one button would over complicate my life, not simplify it. The lock unlock lock unlock step is absolutely unnecessary and I’m wasting pods for no reason.",237,237,Negative,0.9347137212753296,0,0.9347137212753296,0.0561501607298851,0.009136089123785496
UgxsLSHkTM2sfPC76tt4AaABAg,@IvoryRoseCottage,UCfqU_U93va-oWzlks59uAKw,"If you mess up too many times, unplug the machine and start again ugh",0,2025-03-19T12:09:37Z,2025-03-19T12:09:37Z,"If you mess up too many times, unplug the machine and start again ugh",69,69,Negative,0.8752529621124268,0,0.8752529621124268,0.11658017337322235,0.00816683191806078
Ugz4NmzYlgs0HgGV6sR4AaABAg,@Marcman1234,UCh_r18cjWG4vDgG1HYmHNqg,Right when you think you’re done they hit you with “To empty the system of your machine”,0,2025-03-18T01:52:38Z,2025-03-18T01:52:38Z,Right when you think you’re done they hit you with “To empty the system of your machine”,88,88,Negative,0.6322884559631348,0,0.6322884559631348,0.3415343761444092,0.026177171617746353
Ugy1Y96D3hBM43XqGjh4AaABAg,@KacaKasalo,UCwr0K1vu16j-lwfOo-q65KA,Unbelievably complicated for a simple coffe mashine.,0,2025-03-15T10:21:04Z,2025-03-15T10:21:04Z,Unbelievably complicated for a simple coffe mashine.,52,52,Negative,0.7040249109268188,0,0.7040249109268188,0.26164814829826355,0.03432697802782059
Ugwf6x7QYEkeX2J3YtR4AaABAg,@dreiandreia,UConw5ejFV8eDi3KSEdz9O1Q,How do you know when it needs descaling ? And how often?,0,2025-03-10T15:13:10Z,2025-03-10T15:13:10Z,How do you know when it needs descaling ? And how often?,56,56,Neutral,0.8801056146621704,1,0.09906557947397232,0.8801056146621704,0.020828772336244583
UgyJoR07o7dbdK_zsTR4AaABAg,@Fafafa3579,UC-4JDfdJS61WCLtMM3wBbJw,"For crying out loud, just add a friggin’ descaling button!! Instead of making me a guinea pig for machine’s R&D!",0,2025-03-05T11:42:18Z,2025-03-05T11:42:18Z,"For crying out loud, just add a friggin’ descaling button!! Instead of making me a guinea pig for machine’s R&D!",112,112,Negative,0.8375343680381775,0,0.8375343680381775,0.13065804541110992,0.03180756792426109
UgwJPvkJdE1XzasyIR54AaABAg,@susang5387,UC0wvlE0122qKxcB-FmwQIoQ,Some of the earlier comments were ignorant and mean to Mathew. Majority agree this is overly complicated so haters and humiliators - stand down,0,2025-03-02T18:08:12Z,2025-03-02T18:08:12Z,Some of the earlier comments were ignorant and mean to Mathew. Majority agree this is overly complicated so haters and humiliators - stand down,143,143,Negative,0.8818076252937317,0,0.8818076252937317,0.11150744557380676,0.006684866268187761
UgxTv6QLP7XmtW5PniR4AaABAg,@newyork21741,UC4P_AQb-q_hfKe1nW6_Ck7Q,"I just finished descaling my Vertuo Pop machine. Used regular 1/4 cup 5% acidity white vinegar for full water tank instead of Nespresso descaling chemicals. However, followed all the instructions. It makes more sense if u follow the instructions while u doing it like if u cleaning/descaling or emptying whatever ur machine needs. U can see how much dirt/coffee grounds  will come out while descaling ur machine. After descaling & rinsing were done, I removed all the parts of coffee machine again, washed and left them for drying completely. Also unplugged coffee machine, wiped with clean cloth where I can reach. Left it open like for next couple hours. Believe me ur machine will thank u for that and u will also enjoy that fresh/tasty coffee taste. 
Update after 2.5 hours: My coffee tastes amazing. No taste of vinegar at all or that weird taste before descaling. The process is super easy, highly recommend doing it every 5-6 weeks at least. Just follow the instructions along while u doing it.",17,2025-03-01T16:27:54Z,2025-03-01T22:08:48Z,"I just finished descaling my Vertuo Pop machine. Used regular 1/4 cup 5% acidity white vinegar for full water tank instead of Nespresso descaling chemicals. However, followed all the instructions. It makes more sense if u follow the instructions while u doing it like if u cleaning/descaling or emptying whatever ur machine needs. U can see how much dirt/coffee grounds will come out while descaling ur machine. After descaling & rinsing were done, I removed all the parts of coffee machine again, washed and left them for drying completely. Also unplugged coffee machine, wiped with clean cloth where I can reach. Left it open like for next couple hours. Believe me ur machine will thank u for that and u will also enjoy that fresh/tasty coffee taste. Update after 2.5 hours: My coffee tastes amazing. No taste of vinegar at all or that weird taste before descaling. The process is super easy, highly recommend doing it every 5-6 weeks at least. Just follow the instructions along while u doing it.",1001,999,Neutral,0.6479454636573792,1,0.06513262540102005,0.6479454636573792,0.2869218587875366
Ugwssy4I7xVUa1WObDp4AaABAg,@ahmeda4730,UCztlDF_nMktIqG0YkDxZ57A,This is the most complicated instruction video I’ve ever watched,1,2025-02-14T11:28:34Z,2025-02-14T11:28:34Z,This is the most complicated instruction video I’ve ever watched,64,64,Negative,0.9063749313354492,0,0.9063749313354492,0.0794355571269989,0.01418942492455244
UgyeyaLw_yj6QOAum9Z4AaABAg,@StevenVega-w2z,UC5WMcNRhqTYAzZBJEvMgArw,Is this the Kurzgesagt guy?,0,2025-02-10T16:44:32Z,2025-02-10T16:44:32Z,Is this the Kurzgesagt guy?,27,27,Neutral,0.935421884059906,1,0.03800726309418678,0.935421884059906,0.026570886373519897
Ugwducj9RNF7UJbWPm14AaABAg,@MiauTheWorld,UCx1_CiuyfSfTfdFhWwXA8-w,Hold on... Is this Kurzgesagt voice? 🤔🤔,0,2025-02-09T20:14:11Z,2025-02-09T20:14:11Z,Hold on... Is this Kurzgesagt voice?,39,36,Neutral,0.9117249250411987,1,0.05620080605149269,0.9117249250411987,0.03207425773143768
UgyoxTBq7zCet_9nel94AaABAg,@stephensquizzato7632,UCM1_IyBWHmjH5b0yA1iFqnw,"Overly complicated, Nespresso!  Jumping to descaling segment, why do I have to press the button for 7 seconds, twice, to make sure no pods in chamber...REDUNDANT...I'm descaling, not making coffee.  How dumb do you think consumers are?  Following these redundant steps will make you dumb.",1,2025-02-04T17:35:53Z,2025-02-04T17:36:44Z,"Overly complicated, Nespresso! Jumping to descaling segment, why do I have to press the button for 7 seconds, twice, to make sure no pods in chamber...REDUNDANT...I'm descaling, not making coffee. How dumb do you think consumers are? Following these redundant steps will make you dumb.",288,285,Negative,0.8192912936210632,0,0.8192912936210632,0.16446176171302795,0.016246894374489784
UgyyYR05ZrRE3437cAR4AaABAg,@Tom-zq3fm,UC3jvFpvv8v59czL23w1jAIw,Things like this absolutely baffle me. Multi-million pound successful global brand and you cant just put the simplest instructions up for cleanining the machine. Really confusing video and it takes an unaffiliated youtube user to explain the video and process properly in the comments. Madness,1,2025-02-02T15:44:52Z,2025-02-02T15:44:52Z,Things like this absolutely baffle me. Multi-million pound successful global brand and you cant just put the simplest instructions up for cleanining the machine. Really confusing video and it takes an unaffiliated youtube user to explain the video and process properly in the comments. Madness,293,293,Negative,0.8836062550544739,0,0.8836062550544739,0.1074848547577858,0.008908846415579319
UgxFw9JG_tq9H2T-8JR4AaABAg,@averymunro1749,UCO8qjRd_BLRyKdTRkhZy7cQ,These little machines are so smart!! Love then,0,2025-02-02T12:03:45Z,2025-02-02T12:03:45Z,These little machines are so smart!! Love then,46,46,Positive,0.9800997376441956,2,0.006264734547585249,0.013635564595460892,0.9800997376441956
Ugxx55KvPM6SUcmBlUt4AaABAg,@amaliacruz8174,UCIuXxnWA6eL7_PBBCU3aGsA,This is not working on my vertuo.  This is ridiculous!,0,2025-01-22T23:05:09Z,2025-01-22T23:05:09Z,This is not working on my vertuo. This is ridiculous!,54,53,Negative,0.9149632453918457,0,0.9149632453918457,0.07341423630714417,0.011622555553913116
UgxgHXz3bWmSEPl3i2N4AaABAg,@tannthomp,UCCSXRjWiA8EptKkWzbUTfoQ,Hmmm followed the descaling instructions to the tee and it didn’t do anything.,0,2025-01-22T16:53:43Z,2025-01-22T16:53:43Z,Hmmm followed the descaling instructions to the tee and it didn’t do anything.,78,78,Neutral,0.4938979744911194,1,0.4878292679786682,0.4938979744911194,0.01827279105782509
UgyBFW0yFMbklEIqGuV4AaABAg,@LaurelCash-h6n,UCcM1vp_smEMdpHYAQFqw7cQ,Just put a cleaning descaling button…geez.,2,2025-01-22T15:18:23Z,2025-01-22T15:18:23Z,Just put a cleaning descaling button…geez.,42,42,Neutral,0.5126192569732666,1,0.3910980820655823,0.5126192569732666,0.09628263860940933
UgyfjfPPjOiXeVhnve54AaABAg,@6P6F,UCp9xvMbKMs9NaPaa5xO68LA,"Bro, what?",0,2025-01-20T16:51:12Z,2025-01-20T16:51:12Z,"Bro, what?",10,10,Negative,0.5602946281433105,0,0.5602946281433105,0.41024845838546753,0.029456941410899162
UgzqyPfuprksACHYIbp4AaABAg,@Athina-h6n,UC8F6yf79IcdQwOoRblTia6Q,"Thank god Nespresso doesn’t produce cars, we would never get at our jobs on time!!!",1,2025-01-16T09:48:45Z,2025-01-16T09:49:20Z,"Thank god Nespresso doesn’t produce cars, we would never get at our jobs on time!!!",83,83,Negative,0.8009000420570374,0,0.8009000420570374,0.1428125500679016,0.05628742277622223
UgwZx7-Hk-NoNahGU_p4AaABAg,@zozozzzoya,UCJZmT7EKGm1InZM5ayy5Bzg,K… k… kurzgesagd?.. That was unexpected 😁,0,2025-01-15T16:33:47Z,2025-01-15T16:33:47Z,K… k… kurzgesagd?.. That was unexpected,41,39,Neutral,0.6896461844444275,1,0.25858187675476074,0.6896461844444275,0.05177196115255356
UgzVF3U0unXtNDMVwWJ4AaABAg,@kamineko3203,UCIkZOteCIUlvtedwKTY2nIw,I'm more concerned about the warnings on the descaling agent.  Are we sure after one rinse there are no remnants of chemicals left behind???  I ran a clean cycle just to be sure.😊,1,2025-01-15T15:46:22Z,2025-01-15T15:46:22Z,I'm more concerned about the warnings on the descaling agent. Are we sure after one rinse there are no remnants of chemicals left behind??? I ran a clean cycle just to be sure.,179,176,Negative,0.5917375683784485,0,0.5917375683784485,0.38885122537612915,0.01941119320690632
UgwoZYiS3on6CU6oGwZ4AaABAg,@jacquie43410,UCYEQR_dZrPg2NWmSwvSIEzg,I've just watched it on my days pass the valium 😂,0,2025-01-13T09:42:06Z,2025-01-13T09:42:06Z,I've just watched it on my days pass the valium,49,47,Neutral,0.7972766757011414,1,0.00887445081025362,0.7972766757011414,0.19384883344173431
Ugxjxb0PsVg-XffxYFp4AaABAg,@juanenriquerodriguezdiaz7074,UCAh_-Aqp3EK9Y1zgFL3YYdQ,Useless video,0,2025-01-12T15:31:48Z,2025-01-12T15:31:48Z,Useless video,13,13,Negative,0.8608738780021667,0,0.8608738780021667,0.11797267943620682,0.021153362467885017
Ugxv9hJCVbPcjnsfqSh4AaABAg,@rhan88,UCwy_VxbPkN9ok-E2d6_Y8vQ,Maybe I should just get a new machine.,0,2025-01-11T21:42:21Z,2025-01-11T21:42:21Z,Maybe I should just get a new machine.,38,38,Neutral,0.655390739440918,1,0.2641458511352539,0.655390739440918,0.0804634839296341
UgyRTsp-oYIXnM93gc54AaABAg,@fathimahamza3163,UC2TFDGvNfN3WHM1mfIkQsXg,Hey! Thank you so much for your great tutorial. It works well. I cleaned it now with your help. Thanks a lot❤,0,2025-01-10T23:21:07Z,2025-01-10T23:21:07Z,Hey! Thank you so much for your great tutorial. It works well. I cleaned it now with your help. Thanks a lot,109,108,Positive,0.9839471578598022,2,0.004306188318878412,0.01174669899046421,0.9839471578598022
Ugz7XNTu95ydJpiy1LN4AaABAg,@KeoniGlory,UCxa09Z04_6xfS374Akrym9w,FATALITY 😤😤😤,0,2025-01-10T13:52:05Z,2025-01-10T13:52:05Z,FATALITY,12,8,Neutral,0.6311305165290833,1,0.16307732462882996,0.6311305165290833,0.20579220354557037
UgzyX7h-fJoEBgfUxst4AaABAg,@Meryem.Khati.95,UCbbuqRu7umwzGBniBIcb0fA,Do we need to run the cleaning and emptying procedures ones a day? I cannot find this info anywhere,0,2025-01-09T15:16:50Z,2025-01-09T15:16:50Z,Do we need to run the cleaning and emptying procedures ones a day? I cannot find this info anywhere,99,99,Neutral,0.7000498175621033,1,0.28431403636932373,0.7000498175621033,0.015636125579476357
Ugx_M8q84Q3oNFuUoxJ4AaABAg,@BlackGypoMagic,UCg5gIp-7qx3ARyHF_AMlgkg,My machine exploded after following these instructions,0,2025-01-08T01:38:36Z,2025-01-08T01:38:36Z,My machine exploded after following these instructions,54,54,Negative,0.8189554214477539,0,0.8189554214477539,0.15317469835281372,0.027869906276464462
UgyiPNcZa8IHC3BGuSx4AaABAg,@Al3x_RAIDER,UCfknB_wc0g-Kl92HdHOkgXg,"Its 2025, its time to add a descaling button, cleaning button and a emptying  button.",0,2025-01-07T11:52:50Z,2025-01-07T11:52:50Z,"Its 2025, its time to add a descaling button, cleaning button and a emptying button.",85,84,Neutral,0.7200270295143127,1,0.08120743930339813,0.7200270295143127,0.19876553118228912
UgxfCt_6qhEwgOHf0sh4AaABAg,@depthsowned,UCSUZSFwXvEw0EZNQL_xTp1A,"Its actually easier just to buy another machine,  someone elses. 
What a 5hitshow.",0,2025-01-05T14:58:33Z,2025-01-05T14:58:33Z,"Its actually easier just to buy another machine, someone elses. What a 5hitshow.",82,80,Negative,0.884804904460907,0,0.884804904460907,0.10258474946022034,0.012610260397195816
Ugynlg7lbQ85VQF_mM54AaABAg,@elioderfio,UCic69DNBl95zsBr-AnJ6vIQ,Il est infernal ce système !!!,2,2025-01-05T08:44:05Z,2025-01-05T08:44:05Z,Il est infernal ce système !!!,30,30,Negative,0.6204766035079956,0,0.6204766035079956,0.32756519317626953,0.05195815861225128
UgxaEHndQPzWp743lsh4AaABAg,@nicorchard3559,UC_MYNF-moZ665rtAz3jYIUQ,Great enjoyment from the comments.  It seems they designed the machine then had to retrofit some sort of cleaning and descaling process.  The clever bit was hiding the methos away until purchases were done and dusted.,4,2025-01-04T14:31:29Z,2025-01-04T14:31:29Z,Great enjoyment from the comments. It seems they designed the machine then had to retrofit some sort of cleaning and descaling process. The clever bit was hiding the methos away until purchases were done and dusted.,217,215,Positive,0.8929482698440552,2,0.015320977196097374,0.09173073619604111,0.8929482698440552
UgwtXW7WOSpTATRXudJ4AaABAg,@clarksuperman75,UCN_t6Y3YobzfOviP8TYmcPg,For me I had to press the button 3 times quickly for both the descaling and rinsing,0,2025-01-03T11:52:39Z,2025-01-03T11:52:39Z,For me I had to press the button 3 times quickly for both the descaling and rinsing,83,83,Neutral,0.7988910675048828,1,0.04075811058282852,0.7988910675048828,0.16035078465938568
UgzmHGHxtl1SGun4nGF4AaABAg,@ss45247,UCU7pQwp0x1i_GUNIqNcMYBA,The puzzles on Hogwarts Legacy were easier to crack than this 😢,1,2025-01-01T08:15:54Z,2025-01-01T08:15:54Z,The puzzles on Hogwarts Legacy were easier to crack than this,63,61,Neutral,0.48659998178482056,1,0.20207694172859192,0.48659998178482056,0.3113231062889099
